,2007.01,2007.02,2007.03,2007.04,2007.05,2007.06,2007.07,2007.08,2007.09,2007.10,2007.11,2007.12
강원,75,124,112,97,79,108,105,104,114,92,140,118
경기,474,603,562,595,430,652,628,608,616,583,528,660
경남,125,160,148,159,154,179,187,140,169,152,135,145
경북,169,215,198,208,147,188,209,210,208,205,205,219
광주,51,73,80,76,61,87,58,73,71,84,61,74
대구,127,123,120,155,117,163,139,123,125,133,113,144
대전,45,60,63,59,40,64,62,65,53,66,75,73
부산,74,121,93,95,101,128,109,124,119,125,95,114
서울,261,296,313,340,275,369,314,329,341,323,311,381
울산,47,67,54,51,45,67,52,67,78,74,53,71
인천,96,113,130,112,78,123,118,112,104,124,111,109
전남,93,124,103,109,106,111,139,146,138,126,132,148
전북,68,100,95,99,90,88,81,101,104,95,110,121
제주,28,34,32,26,25,39,22,27,39,31,24,27
충남,104,172,158,122,106,143,124,143,130,136,143,149
충북,65,100,85,79,56,77,84,110,69,85,78,113
합계,1902,2485,2346,2382,1910,2586,2431,2482,2478,2434,2314,2666
