,2010.01,2010.02,2010.03,2010.04,2010.05,2010.06,2010.07,2010.08,2010.09,2010.10,2010.11,2010.12
강원,101,139,127,124,87,95,81,98,94,108,131,125
경기,544,680,676,707,491,524,595,638,564,558,579,607
경남,131,165,132,125,113,119,143,148,121,133,134,126
경북,176,210,200,171,155,161,162,188,161,153,172,181
광주,90,119,111,105,89,93,90,125,94,86,93,72
대구,128,133,125,115,126,152,122,128,116,123,109,133
대전,70,65,75,73,69,63,65,83,57,47,68,57
부산,83,105,113,102,95,94,98,99,92,110,86,92
서울,282,345,383,361,287,286,312,337,295,316,331,375
울산,54,68,58,91,53,48,66,58,59,59,68,62
인천,132,127,120,133,102,117,106,126,99,122,120,135
전남,113,142,127,104,100,120,130,112,94,140,129,151
전북,98,117,93,99,82,100,98,110,74,107,84,115
제주,37,28,22,37,28,30,31,26,30,26,27,27
충남,139,178,169,136,101,147,137,178,165,144,133,156
충북,82,103,96,85,57,80,92,81,79,61,73,97
합계,2260,2724,2627,2568,2035,2229,2328,2535,2194,2293,2337,2511
