,2006.01,2006.02,2006.03,2006.04,2006.05,2006.06,2006.07,2006.08,2006.09,2006.10,2006.11,2006.12
강원,65,136,139,91,80,77,99,119,107,116,147,125
경기,505,650,796,591,424,538,549,543,575,794,599,703
경남,140,188,188,146,140,132,164,198,128,210,156,212
경북,205,256,260,195,139,177,231,210,183,212,224,228
광주,54,82,100,83,59,68,73,89,62,89,67,76
대구,120,157,185,170,133,141,136,140,135,150,120,152
대전,68,72,72,66,38,62,53,56,57,76,58,71
부산,116,159,132,101,157,131,154,153,161,165,149,159
서울,248,331,388,328,253,283,322,319,330,395,346,371
울산,38,81,70,61,38,43,52,69,59,93,81,89
인천,105,103,154,124,73,107,114,116,126,155,136,123
전남,104,164,123,111,93,126,134,146,115,157,155,120
전북,78,120,140,87,55,96,100,90,90,117,92,122
제주,28,29,35,24,39,23,34,30,27,42,26,28
충남,86,181,149,115,79,126,123,141,128,151,127,156
충북,61,106,102,67,57,82,74,73,79,109,81,96
합계,2021,2815,3033,2360,1857,2212,2412,2492,2362,3031,2564,2831
