,2014.01,2014.02,2014.03,2014.04,2014.05,2014.06,2014.07,2014.08,2014.09,2014.10,2014.11,2014.12
강원,57,95,74,60,51,85,77,80,81,79,101,69
경기,437,516,478,503,428,524,459,478,462,505,526,449
경남,98,125,121,94,105,162,109,118,106,128,150,115
경북,132,130,161,133,126,173,131,113,123,140,156,146
광주,57,90,78,92,61,91,82,79,73,69,69,72
대구,82,104,108,100,78,120,99,102,104,125,94,103
대전,51,84,73,42,48,57,47,84,65,56,76,68
부산,74,60,76,80,75,115,87,80,86,92,93,78
서울,244,291,310,318,238,267,239,276,274,324,282,298
세종,4,11,7,8,5,7,10,5,7,6,5,6
울산,54,83,72,58,64,83,70,69,73,79,98,71
인천,85,108,104,117,83,98,108,86,97,98,104,92
전남,78,95,97,94,70,109,93,105,88,98,113,116
전북,61,73,78,65,76,71,68,88,72,72,78,80
제주,28,37,33,32,32,35,34,45,35,31,45,28
충남,100,132,140,114,77,109,102,131,97,116,140,153
충북,82,90,94,81,52,109,90,92,97,79,77,92
합계,1724,2124,2104,1991,1669,2215,1905,2031,1940,2097,2207,2036
