,2017.01,2017.02,2017.03,2017.04,2017.05,2017.06,2017.07,2017.08,2017.09,2017.10,2017.11,2017.12
강원,70,48,59,49,70,66,64,69,65,77,72,68
경기,452,347,392,406,361,369,448,422,422,399,463,539
경남,65,54,78,91,73,86,67,81,79,94,75,83
경북,71,89,102,109,94,94,99,110,101,113,107,118
광주,66,66,69,48,63,55,44,59,50,57,49,62
대구,68,60,72,81,70,67,74,77,65,90,71,95
대전,55,36,44,44,50,44,46,44,44,53,45,51
부산,69,45,66,62,59,45,63,56,64,58,66,56
서울,248,253,213,221,208,233,259,235,221,248,265,260
세종,8,5,7,8,5,6,5,9,10,9,10,7
울산,47,48,45,45,49,35,36,43,42,35,48,50
인천,89,77,85,85,90,58,85,76,82,74,83,116
전남,66,52,70,76,79,69,75,76,76,98,90,78
전북,68,49,71,56,63,67,70,58,66,82,62,60
제주,26,21,25,27,18,26,36,27,34,20,28,31
충남,123,80,94,117,123,109,109,126,138,116,109,125
충북,56,71,64,77,61,60,60,89,83,94,102,86
합계,1647,1401,1556,1602,1536,1489,1640,1657,1642,1717,1745,1885
