,2009.01,2009.02,2009.03,2009.04,2009.05,2009.06,2009.07,2009.08,2009.09,2009.10,2009.11,2009.12
강원,97,117,125,129,86,87,113,123,110,151,157,106
경기,426,552,600,638,457,511,440,568,491,546,483,524
경남,137,163,174,140,162,166,165,145,141,167,139,140
경북,151,204,186,203,156,216,185,209,198,205,188,196
광주,87,91,113,124,76,95,81,105,106,106,86,102
대구,127,129,147,128,121,134,136,110,103,101,111,123
대전,59,86,96,98,55,82,84,82,61,77,73,61
부산,104,102,112,100,111,120,113,119,87,102,98,103
서울,288,319,294,343,253,307,310,299,293,302,240,281
울산,65,46,73,63,65,75,84,87,51,68,66,53
인천,105,121,131,125,110,108,111,122,97,111,116,95
전남,115,142,135,136,120,143,114,149,125,151,125,130
전북,79,130,105,97,87,113,113,123,97,109,114,116
제주,22,24,35,26,25,18,32,32,29,35,33,36
충남,118,141,165,143,126,138,149,151,139,152,136,130
충북,67,127,93,92,76,77,68,75,80,104,85,83
합계,2047,2494,2584,2585,2086,2390,2298,2499,2208,2487,2250,2279
