,2018.01,2018.02,2018.03,2018.04,2018.05,2018.06,2018.07,2018.08,2018.09,2018.10,2018.11,2018.12
강원,50,61,51,54,63,63,65,52,62,66,43,49
경기,486,485,418,480,413,372,435,402,428,407,375,389
경남,71,78,87,93,86,75,78,80,85,85,75,65
경북,94,91,110,117,103,86,112,113,120,98,82,64
광주,56,48,64,75,62,51,49,45,64,60,47,54
대구,72,71,74,84,82,72,77,72,78,75,66,67
대전,37,50,41,43,55,48,56,61,59,57,45,42
부산,61,46,65,52,62,61,60,84,86,66,52,48
서울,264,231,256,269,248,209,240,234,245,249,212,199
세종,4,8,12,17,9,14,8,6,5,6,3,6
울산,46,40,55,55,49,59,43,51,45,46,38,40
인천,91,100,74,92,85,78,85,62,61,73,62,75
전남,64,72,78,96,81,64,85,84,80,94,57,53
전북,66,41,63,63,74,61,43,68,54,60,47,43
제주,24,22,27,30,28,32,34,25,33,30,16,21
충남,103,124,116,122,131,105,101,102,92,124,93,95
충북,65,81,74,85,70,77,81,71,79,73,69,57
합계,1654,1649,1665,1827,1701,1527,1652,1612,1676,1669,1382,1367
