,2016.01,2016.02,2016.03,2016.04,2016.05,2016.06,2016.07,2016.08,2016.09,2016.10,2016.11,2016.12
강원,51,61,54,57,52,60,56,57,58,75,62,65
경기,493,446,450,493,397,283,355,318,330,449,438,509
경남,74,82,94,99,95,91,75,66,80,85,73,67
경북,107,88,113,117,110,88,86,91,119,134,108,107
광주,61,70,71,82,62,48,59,50,54,80,64,63
대구,100,75,85,97,57,57,66,61,89,84,83,84
대전,65,59,66,54,50,41,56,54,54,58,58,50
부산,79,67,69,63,57,60,61,57,65,72,75,64
서울,252,244,253,241,276,198,189,211,210,238,273,289
세종,6,8,12,8,6,6,10,5,7,7,8,10
울산,40,51,54,66,60,48,41,45,42,49,52,55
인천,106,98,88,114,96,52,78,56,57,101,103,100
전남,83,50,83,91,81,50,70,75,75,84,80,82
전북,54,58,53,78,63,60,54,78,74,50,65,66
제주,26,24,38,29,25,26,34,25,24,47,35,32
충남,86,95,90,131,103,105,102,89,87,115,97,103
충북,63,80,78,82,67,62,60,58,64,73,88,76
합계,1746,1656,1751,1902,1657,1335,1452,1396,1489,1801,1762,1822
