,2008.01,2008.02,2008.03,2008.04,2008.05,2008.06,2008.07,2008.08,2008.09,2008.10,2008.11,2008.12
강원,81,117,118,99,79,106,84,94,100,117,133,128
경기,475,528,500,510,513,641,578,559,528,573,518,470
경남,112,168,165,143,109,162,132,156,153,121,136,139
경북,179,223,212,189,161,209,195,184,189,171,183,188
광주,62,92,87,88,49,43,58,92,64,79,69,65
대구,136,101,129,126,106,122,116,120,134,103,113,103
대전,50,83,81,68,42,65,58,50,61,65,58,55
부산,86,104,109,94,78,102,91,106,89,91,109,82
서울,238,280,310,319,241,311,305,294,329,333,265,256
울산,49,73,77,81,53,68,75,50,78,58,56,47
인천,103,129,96,128,104,139,124,113,88,134,118,84
전남,99,142,152,132,106,106,140,144,111,123,107,107
전북,92,99,90,73,71,107,104,101,97,89,91,72
제주,27,40,24,31,16,28,30,26,23,15,29,24
충남,118,182,154,123,116,134,133,135,144,119,143,145
충북,92,96,85,68,77,91,75,80,85,99,80,63
합계,1999,2457,2389,2272,1921,2434,2298,2304,2273,2290,2208,2028
