,2015.01,2015.02,2015.03,2015.04,2015.05,2015.06,2015.07,2015.08,2015.09,2015.10,2015.11,2015.12
강원,82,73,55,77,84,81,91,92,76,64,102,82
경기,529,422,451,493,493,499,503,486,468,516,625,547
경남,120,96,135,131,109,141,132,93,120,114,108,98
경북,121,124,134,166,138,134,132,133,140,127,120,127
광주,87,62,78,66,71,67,78,69,70,80,80,66
대구,104,100,92,105,90,97,101,92,83,91,91,88
대전,48,43,49,70,62,57,76,61,70,56,71,73
부산,78,65,70,96,116,89,95,91,75,87,96,66
서울,287,229,273,299,258,319,289,258,279,296,365,301
세종,9,7,3,7,10,10,7,10,8,6,10,11
울산,73,58,53,74,66,85,84,60,61,59,70,64
인천,95,74,111,87,107,89,112,100,76,103,119,112
전남,88,105,94,106,99,117,108,99,92,96,97,75
전북,72,67,85,82,76,61,78,78,81,76,93,71
제주,40,29,34,38,37,36,45,38,52,35,41,41
충남,112,113,107,138,118,134,128,114,133,128,130,106
충북,82,84,90,94,98,82,83,80,87,111,100,90
합계,2027,1751,1914,2129,2032,2098,2142,1954,1971,2045,2318,2018
