,2011.01,2011.02,2011.03,2011.04,2011.05,2011.06,2011.07,2011.08,2011.09,2011.10,2011.11,2011.12
강원,93,140,101,105,87,95,97,85,106,121,124,111
경기,637,613,656,679,512,568,632,575,558,660,544,486
경남,87,144,157,123,110,112,134,117,117,128,151,106
경북,150,228,189,204,150,168,187,203,156,182,171,169
광주,82,98,109,108,84,100,114,79,90,83,69,88
대구,107,137,133,133,88,105,132,137,119,116,106,104
대전,66,81,74,83,54,54,70,63,68,93,59,84
부산,69,99,117,100,79,86,112,98,104,99,109,83
서울,316,304,345,324,265,275,357,305,305,375,276,253
울산,68,94,80,90,44,64,67,67,64,56,63,82
인천,149,135,136,142,102,107,133,130,149,167,110,102
전남,97,137,141,103,88,93,126,115,129,107,101,117
전북,67,134,111,84,72,98,90,84,74,93,78,98
제주,17,34,42,34,24,18,28,33,33,28,29,30
충남,130,182,155,135,139,128,165,155,128,168,127,148
충북,86,143,119,113,66,95,101,121,109,113,91,103
합계,2221,2703,2665,2560,1964,2166,2545,2367,2309,2589,2208,2164
