,2013.01,2013.02,2013.03,2013.04,2013.05,2013.06,2013.07,2013.08,2013.09,2013.10,2013.11,2013.12
강원,69,99,97,82,80,75,97,95,101,90,90,91
경기,597,553,555,566,491,641,607,584,471,554,431,493
경남,118,160,139,124,85,135,150,146,141,124,128,119
경북,136,159,154,123,129,166,161,155,139,113,147,128
광주,81,88,84,104,90,106,102,92,78,69,83,81
대구,108,121,112,94,98,120,122,112,113,107,82,92
대전,75,88,68,70,68,80,81,109,74,77,71,70
부산,79,102,94,83,72,104,100,116,110,105,105,96
서울,325,272,305,294,249,318,358,315,291,303,245,275
세종,7,4,7,12,4,12,3,11,5,3,4,6
울산,62,74,56,69,74,101,83,78,74,68,73,59
인천,116,119,91,94,110,116,120,130,107,125,90,113
전남,86,122,117,85,115,109,123,142,105,102,97,122
전북,57,102,93,88,69,91,88,80,94,85,77,79
제주,35,43,32,34,29,29,31,29,33,40,32,49
충남,116,113,143,115,99,106,147,160,166,125,104,135
충북,108,89,115,92,89,92,107,108,92,90,82,98
합계,2175,2308,2262,2129,1951,2401,2480,2462,2194,2180,1941,2106
